Name,Website,Institution,Kategorie,Kurz Beschreibung,Schlagworte,"Themen (aufteilen in Kurz Beschreibung und Schlagworten, danach löschen)","Fachbereich / Material (aufteilen in Kurz Beschreibung und Schlagworten, danach löschen)",Land,Sprache,Software / Modell / Format,Semantic,Lizenz,Open access,Aktuell/gepflegt,Kommentar,Kontakt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz,Responsive,Letzte Aktualisierung
Conservation and Art Materials Encyclopedia Online (CAMEO),https://cameo.mfa.org/wiki/Main_Page,"Museum of fine arts, Boston",Fachtext,"<KI-Generiert> Die Conservation and Art Materials Encyclopedia Online (CAMEO) ist eine Datenbank, die technische Informationen über die verschiedenen Begriffe, Materialien und Techniken sammelt, definiert und verbreitet, die in den Bereichen Kunstkonservierung und Denkmalpflege verwendet werden. Enthält Informationen zu Objekten, Materialien und Techniken.","<KI-Generiert> Kunstkonservierung, Denkmalpflege, Objekte, Materialien, Techniken","Objekte, Materialien, Techniken",Alle,,englisch,MediaWiki,-,,X,X,NW: Sehr hilfreich für uns und Restaurierung,"CAMEO: Michele Derrick, Research Scientist, retired, MFA mrderrick@gmail.com",True,,True,2023-05-15
Conservation FAQs and Facts,https://sha.org/conservation-facts/,The Society for Historical Archaeology,Fachtext,"<KI-Generiert> Ein Leitfaden, der Archäologen dazu anregen soll, spezialisierte Konservierungsmaßnahmen in Anspruch zu nehmen. Er enthält FAQs zu verschiedenen Themen im Zusammenhang mit der Konservierung archäologischer Funde, geordnet nach Kategorien wie Konservierung, Vorbereitung auf die Konservierung bei archäologischen Ausgrabungen, Handhabung frisch ausgegrabener Artefakte vor Ort, erste Bearbeitung archäologischer Materialien, Materialidentifizierung und Zustandsbeurteilung, Konservierungsbehandlungen, Forschung und Analyse von Artefakten, Lagerung und Konservierung von Sammlungen, Lagerung und Konservierung archäologischer Dokumentation, Veröffentlichung von Konservierungsinformationen, Ausstellung archäologischer Artefakte, Laborwartung und Katastrophenschutz für Sammlungen. Außerdem enthält es ein Glossar der Konservierungsbegriffe. Schlagwörter: Maßnahmen, Zustand, Methoden, Archäologie","<KI-Generiert> Maßnahmen, Zustand, Methoden, Archäologie","Maßnahmen, Zustand, Methoden",Archäologie,,englisch,HTML,-,<KI-Generiert> Creative Commons Attribution-NonCommercial 3.0 United States License,X,-,NW: Hauptsächlich interessant für Archäologische Restaurierung. Hinweise und Anweisungen vorhanden. Glossar richtet sich eher an Laien,Nicole Grinnan Website Editor (2023-present) Phone: (941) 524-0202 Email: ngrinnan@uwf.edu ,True,,True,
Conservation Process Model (CPM),http://www.drawingtothefuture.polito.it/projects/bhimm/,"ABC Department, Politecnico di Milano",Ontologie,"<KI-Generiert> Modell zur Darstellung semantischer Inhalte im Bereich der Konservierung und Restaurierung und Informationsaustausch. Hauptsächlich auf Baudenkmäler fokussiert. Basiert u.A. auf CIDOC CRM, aber auch auf anderen Ontologien und eigenen Entwicklungen. CPM ist nicht öffentlich zugänglich/auffindbar",<KI-Generiert> Baudenkmal,"Eigenständiges Modell zur Darstellung semantischer Inhalte im Bereich der Konservierung und Restaurierung und Informationsaustausch. Hauptsächlich auf Baudenkmäler fokussiert (?). Basiert u.A. auf CIDOC CRM, aber auch auf anderen Ontologien und eigenen Entwicklungen. CPM ist nicht öffentlich zugänglich/auffindbar",Baudenkmal,IT,englisch,Protégé / Cidoc CRM,X,,-,,NW: Verkauf von Software?,,True,,True,2018-10-31
Conservation space,https://de.museumspace.com/conservationspace/,"National Gallery of Art, Washington",Datenschema,"<KI-Generiert> Conservation Space ist ein webbasiertes Modul für Konservierungsexperten und Restaurierungsabteilungen in Galerien und Museen, das Dokumenten- und Prozessmanagement bietet.","<KI-Generiert> Konservierung, Ausstellung, Kuration, Dokumentation",Dokumentation,Alle,<KI-Generiert> USA,"deutsch, englisch",Sirmas Enterprise Platform (SEP),X,<KI-Generiert> Copyright © Sirma Group 2018. All rights reserved.,-,,NW: Verkauf von Software?,,True,,True,2018-01-01
Constglass,http://www.constglass.eu/index.html,Dombauverwaltung Köln,<KI-Generiert> Datenbank,"<KI-Generiert> Bildarchiv des Constglass-Projekts mit Informationen über den Zustand historischer Glasfenster in Europa und die bei ihrer Konservierung verwendeten Materialien. Materialien, Glas","<KI-Generiert> Materialien, Glas",Materialien,Glas,,deutsch,HTML,-,,X,-,NW: Maßnahmendokumentation KF: nicht mehr verfügbar (02/2025) ,EDITOR IN CHARGE Dr. Ulrike Brinkmann Metropolitankapitel der Hohen Domkirche Köln Dombauverwaltung Roncalliplatz 2 50667 Köln ulrike.brinkmann@dombau-koeln.de,True,,True,
Corning Museum of Glass Dictionary,https://www.cmog.org/research/glass-dictionary/a,The Corning Museum of Glass,Vokabular,"<KI-Generiert> Objekte, Techniken Glas","<KI-Generiert> Objekte, Techniken, Glas","Objekte, Techniken",Glas,,englisch,HTML,-,,X,X,"NW: Begriffe mit Erklärung, teilweise mit Bildern",Any research inquiries should be sent to the Rakow Research Library rakow@cmog.org,True,,False,
CRMcr Model,http://projet-parcours.eu,French Heritage Science Foundation,Ontologie,<KI-Generiert> Im Rahmen des Forschungsprojekts PARCOURS entwickelte Ontologie für die allgemeine Modelierung von Konservierungs- und Restaurierungsmaßnahemen. Erweiterung von CIDOC CRM um fachspezifische Klassen.,"<KI-Generiert> Konservierungsmaßnahemen, Restaurierungsmaßnahemen, CIDOC CRM",Im Rahmen des Forschungsprojekts PARCOURS entwickelte Ontologie für die allgemeine Modelierung von Konservierungs- und Restaurierungsmaßnahemen. Erweiterung von CIDOC CRM um fachspezifische Klassen. Projekt startete im Jahr 2014.Tatsächliche Arbeitsergebnisse nicht auffindbar/Ontologie nicht öffentlich zugänglich,Alle,FR,französisch,basiert auf Cidoc CRM und CRMsci ,X,,-,,Website aktuell nicht erreichbar. Arbeitsergebnisse nicht auffindbar,,True,,False,
Cultural Objects Name Authority,https://www.getty.edu/research/tools/vocabularies/cona,Getty Research Institute,<KI-Generiert> Vokabular,"<KI-Generiert> CONA (Cultural Objects Name Authority) kompiliert Titel, Zuschreibungen, dargestellte Themen und andere Metadaten über Kunstwerke, Architektur und kulturelles Erbe. Metadaten werden aus Museumssammlungen, Sondersammlungen, Archiven, Bibliotheken, wissenschaftlichen Forschungen und anderen Quellen gesammelt und verknüpft. CONA ist mit AAT, TGN, ULAN und IA (Iconography Authority) verbunden.","<KI-Generiert> Cultural Objects Name Authority, Getty Research Institute, Titel, Zuschreibungen, Metadaten, Kunstwerke, Architektur, kulturelles Erbe, Museumssammlungen, Sondersammlungen, Archive, Bibliotheken, wissenschaftliche Forschungen",Dokumentation,Alle,,englisch,HTML,-,<KI-Generiert> Open Data Commons Attribution License (ODC-By) 1.0,X,-,NW: Hilfreich für uns,vocab@getty.edu,True,,True,2017-05-11
Damage Atlas for Photographic materials,https://journals.openedition.org/ceroart/1770,Kristel Van Camp,Vokabular,"<KI-Generiert> Der Schadensatlas für fotografische Materialien bietet eine erste Charakterisierung von Schäden im Bereich der Fotografie. Der Schadensatlas enthält Bilder und die notwendigen Informationen zu Schäden an fotografischem Material. Der Atlas mit speziellen Anmerkungen zur Terminologie und zum Schweregrad des Schadens richtet sich an alle, die mit fotografischem Material arbeiten, sowohl in Museen als auch in Archiven. Schlagworte: Beschädigung, Konservierung, Präventive Konservierung, Fotografie, Terminologie","<KI-Generiert> détérioration, conservation, conservation préventive, terminologie, photographie, damage, conservation, preventive conservation, photography, terminology",Zustand,Neue Medien / Photographien,,"englisch, französisch",HTML,-,<KI-Generiert> CC BY-NC-ND 4.0,X,-,"NW: Definition von Schadensbegriffen, inkl. Baumdiagramm",-,True,,True,2010-11-15
Darwin Core Ontology Archive (DwC-A),https://www.tdwg.org/community/esp/efg/,,Ontologie,"<KI-Generiert> Extension for Geosciences (EFG) zur Erweiterung des ABCD-Standards um verschiedene Begriffe, die für geowissenschaftliche Sammlungsobjekte relevant sind.","<KI-Generiert> Geowissenschaften, Sammlungen, ABCD, Datenstandard, Paläontologie, Mineralogie, Petrologie",,,<KI-Generiert> Germany,,<KI-Generiert> XML Schema Definition (XSD),,<KI-Generiert> Creative Commons Attribution 4.0 International License,<KI-Generiert> x,,,,,True,True,2025-01-01
Das Oddy-Torium – Test von Restaurierungsmaterialien,https://www.abk-stuttgart.de/fileadmin/redaktion/content/Forschung/Das_Oddy-Torium/Tabelle_Oddy-Torium_Stand_06-03-2023.pdf,Staatliche Akademie der Bildenden Künste Stuttgart,Fachtext,<KI-Generiert> Materialien,<KI-Generiert> Materialien,Materialien,Alle,,englisch,PDF,-,,X,-,"NW: Sehr spezifisch, Möglicherweise irrelevant, da abhängig von Batches?",,True,,False,
Datenbank für Bauforschung,https://www.bauforschung-bw.de/,Landesamt für Denkmalpflege Baden-Württemberg,Datenbank,<KI-Generiert> Datenbank für Bauforschung und Restaurierung des Landesamtes für Denkmalpflege Baden-Württemberg in Zusammenarbeit mit der Regionalgruppe Baden-Württemberg des Arbeitskreises für Hausforschung. Ziel ist die bessere Verfügbarkeit von Wissen über historische Gebäude.,"<KI-Generiert> Bauforschung, Gebäude, historische Architektur, Denkmalpflege, Baumaterialien, Bautechnik, Konstruktion, Objekte, Zustand, Wand, Stein","Objekte, Zustand",Wand und Stein,<KI-Generiert> Deutschland,deutsch,HTML,-,<KI-Generiert> Alle Rechte vorbehalten,X,X,"NW: Nicht vollständig, aber für uns sehr hilfreich. Austausch/Verknüpfung könnte sinnvoll sein ",E-Mail: support@bauforschung-bw.de oder Telefon: +49 (0)711 66 45 69 27 (Montag - Freitag: 10 - 12 Uhr) ,True,,True,2025-04-15
Datenbank Steinkonservierungsmittel,https://ifs-mainz.de/datenbank,"Institut für Steinkonservierung e.V., Mainz",Datenbank,"<KI-Generiert> Materialien, Wand und Stein","<KI-Generiert> Materialien, Wand, Stein",Materialien,Wand und Stein,,deutsch,PDF,-,,X,-,NW: Interessant für ins. Insbesondere PDF Steinkonservierungsmittel und Verfahren,Institut für Steinkonservierung e. V. Große Langgasse 29 55116 Mainz Telefon: +49 (0)6131 2016-500 Fax: +49 (0)6131 2016-555 info@ifs-mainz.de,True,,False,
Descriptive Terminology for Works of Art on Paper,https://www.philamuseum.org/learn/conservation/descriptive-terminology-works-art-on-paper,Philadelphia Museum of Art,Vokabular,"<KI-Generiert> Ein detaillierter Leitfaden, der von den Kuratoren und Restauratoren des Museums erstellt wurde, um Kunst für alle zugänglich zu machen. Er behandelt die genauere und einheitlichere Dokumentation der Materialien und Techniken, die zur Herstellung von Kunstwerken auf Papier verwendet werden. Schlagwörter: Objekte, Techniken, Papier","<KI-Generiert> Objekte, Techniken, Papier","Objekte, Techniken",Papier,,englisch,PDF,-,,X,-,"NW: Sehr interessant, insb. Guidelines",Conservation artconservation@philamuseum.org Communications Department pressroom@philamuseum.org,True,,True,2022-08-25
Dictionary of Book and Paper Conservation,http://mek.oszk.hu/10600/10635/10635.pdf,"Nationalbibliothek von Ungarn, Budapest",Vokabular,"<KI-Generiert> Objekte, Maßnahmen, Techniken, Zustand, Papier","<KI-Generiert> Objekte, Maßnahmen, Techniken, Zustand, Papier","Objekte, Maßnahmen, Techniken, Zustand",Papier,,"deutsch, englisch, etc.",PDF,-,,X,-,"NW: Nur Begriffe und Übersetzungen, ohne Erklärung",,True,,True,
Dictionary of Units,http://www.cleavebooks.co.uk/dictunit/dictunit.htm,Cleave Books,<KI-Generiert> Fachtext,"<KI-Generiert> This dictionary provides an account of the principal units of measurement to be found in use around the world today, and the conversion factors often needed to change them into 'standard' units of the SI system. ",<KI-Generiert> Materialien,Materialien,Alle,,englisch,HTML,-,,X,-,NW: Könnte hilfreich sein,Please send queries and comments to management@cleavebooks.co.uk,True,,True,
Doc Culture,nicht erreichbar,"Nationale Technologischen Universität Athen (Fachbereich Chemieingenieurwesen), Technologische Bildungsinstitut Athen/ University of West Attica (Fachbereich Bibliothekswissenschaft und Informationssysteme), Universität Patras (Fachbereich Computertechnik und Informatik), Nationales Archäologisches Museum Griechenlands",Ontologie,<KI-Generiert> Forschungsprojekt zu Metadatendefinition für Dokumentation zerstörungsfreier Untersuchungsmethoden (und anderer konservatorischen Maßnahmen) und Erweiterung des CIDOC CRMs,"<KI-Generiert> Schlagwörter, Kurzbeschreibung",Forschungsprojekt zu Metadatendefinition für Dokumentation zerstörungsfreier Untersuchungsmethoden (und anderer konservatorischen Maßnahmen) und Erweiterung des CIDOC CRMs,Alle,GRC,englisch,,,,-,?,"Website aktuell nicht erreichbar, Arbeitsergebnisse nur in Form eines Papers gefunden bisher.",Corresponding author. Tel.: +30-210 7724487; fax: +30-210 7724488. E-mail address: dimitriskouis@seab.gr,True,,False,
Dublin Core Ontology Metadata Element Set (DCMI),https://www.dublincore.org/specifications/dublin-core/dcmi-terms/,Dublin Core,Datenschema,<KI-Generiert> DCMI Metadata Terms ist ein allgemeiner Metadatenstandard basierend auf 15 Hauptelementen und dient zur Beschreibung von Ressourcen.,<KI-Generiert> Metadaten,allgemeiner Metadatenstandard basierend auf 15 Hauptelementen,Metadaten,diverse,englisch,"XML, RDF",,<KI-Generiert> Creative Commons Attribution 4.0 International License,<KI-Generiert> x,,ISO-Norm ISO 15836 Part 2 (neueste von 2019) https://www.dublincore.org/specifications/dublin-core/ ,,,True,True,2025-04-14
Dye Analysis,https://cameo.mfa.org/wiki/Category:Dye_Analysis,"Museum of fine arts, Boston",Fachtext,"<KI-Generiert> Die Dye Analysis Datenbank enthält Analysen von Referenzfarbstoffmaterialien und Analysen von Proben von Kulturgütern, die mittels Flüssigkeitschromatographie, im Allgemeinen gekoppelt mit Diodenarray- und Massenspektrometerdetektoren (LC/DAD/MS), durchgeführt wurden. Die Datenbank umfasst sowohl natürliche als auch synthetische Farbstoffe. Schlagwörter: Methoden, Farbstoffe","<KI-Generiert> Methoden, Farbstoffe",Methoden,Farbstoffe,,englisch,MediaWiki,-,,X,X,NW: Sehr hilfreich für uns,"CAMEO: Michele Derrick, Research Scientist, retired, MFA mrderrick@gmail.com",True,,True,2017-07-27
Europeana Data Model (EDM),https://pro.europeana.eu/page/edm-documentation ,Europeana,Datenschema,"<KI-Generiert> Datenmodell, Verlinkt verschiedene Einträge in Repositorien und Vokabularen, um Dateneinträge anzureichern. Behält die Datenprovenienz dieser Anreicherungen bei",<KI-Generiert> Datenmodell,"Datenmodell, Verlinkt verschiedene Einträge in Repositorien und Vokabularen, um Dateneinträge anzureichern. Behält die Datenprovenienz dieser Anreicherungen bei",Werkzeug für den Austausch von Daten über kulturelles Erbe,diverse,englisch,XML,x,,,,"Bringt bestehende Standards unter, wie LIDO, EAD und METS",,,True,False,
EwaGlos – European Illustrated Glossary for Conservation Terms of Wall Painting and Architectonic Surfaces,http://projekte.hawk-hhg.de/ewaglos/,"Hornemann-Institut, HAWK Hildesheim",Vokabular,<KI-Generiert> Zustand Wand und Stein,"<KI-Generiert> Zustand, Wand, Stein",Zustand,Wand und Stein,,"deutsch, englisch, etc.",PDF,X,,X,X,NW: Sehr hilfreich,Hornemann Institut,True,,False,
Fachinformationen Frauenhofer IRB,irb.fraunhofer.de/de/datenbanken.html,Frauenhofer Institut,<KI-Generiert> Fachtext,<KI-Generiert> Wand und Stein,"<KI-Generiert> Zustand, Wand und Stein",Zustand,Wand und Stein,,"deutsch, englisch",HTML,-,,teilweise,X,"NW: ICONDA®­Bibliographic, SCHADIS® | Die Daten­bank zu Bau­schäden und BZP® nicht open access",,True,,True,
Fact Sheets on Exhibit & Storage Materials,https://cameo.mfa.org/wiki/Category:MWG,"Museum of fine arts, Boston",<KI-Generiert> Fachtext,"<KI-Generiert> Diese Sammlung von CAMEO fasst Seiten für Materialien zusammen, die für die Ausstellung, Lagerung und den Transport von Kulturgütern verwendet wurden oder verwendet werden könnten. Die Auswahl der Materialien erfordert spezifische Informationen über Zusammensetzung, Verarbeitungseigenschaften, Stabilität und Wechselwirkungen. Es ist wichtig zu beachten, dass sich die Eigenschaften von Materialien im Laufe der Zeit aufgrund von Änderungen in Chargen, Herstellung oder Lieferanten ändern können. Die Aufnahme in diese Sammlung bedeutet lediglich, dass das Material in der Ausstellung, Lagerung oder im Transport verwendet wurde, impliziert jedoch nicht, dass dies die derzeit beste Praxis darstellt und nicht als Unterstützung eines bestimmten Materials oder einer bestimmten Verwendung angesehen werden sollte. Diese Sammlung wurde von der Arbeitsgruppe Materials Selection & Specification Working Group (MWG) unter der Schirmherrschaft des Collection Care Network des American Institute for Conservation erstellt. Die MWG arbeitet aktiv daran, die Informationen in CAMEO-Aufzeichnungen in Zusammenarbeit mit Mitgliedern des Preparation, Art Handling, Collection Care Information Network (PACCIN) zu erweitern.","<KI-Generiert> Ausstellung, Lagerung, Transport, Kulturerbe, Materialien, Materialauswahl, Materialeigenschaften, CAMEO, AIC",Materialien,Alle,,englisch,MediaWiki,-,,X,X,"NW: Hilfreich, s. andere Cameo Datenbanken","CAMEO: Michele Derrick, Research Scientist, retired, MFA mrderrick@gmail.com",True,,True,2025-02-09
"FIAF manual, D.16 Manifestation/Item Condition, Preservation and Restoration",https://www.fiafnet.org/pages/E-Resources/Cataloguing-Manual.html,International Federation of Film Archives,<KI-Generiert> Fachtext,"<KI-Generiert> Das FIAF Moving Image Cataloguing Manual (2016), herausgegeben von der FIAF Cataloguing and Documentation Commission (CDC), kann kostenlos im PDF-Format abgerufen werden. Es ist das Ergebnis jahrelanger Arbeit und Zusammenarbeit mit zahlreichen Fachleuten im Bereich des bewegten Bildes. Es ist mehr als eine einfache Überarbeitung der FIAF Cataloguing Rules for Film Archives (1991), da es die Veränderungen in der Informationstechnologie der letzten zwei Jahrzehnte berücksichtigen und sich an bestehenden und neuen Metadatenstandards orientieren musste. Obwohl es einen speziellen Fokus hat und sich an modernen Konzepten und Standards wie FRBR (Functional Requirements for Bibliographic Records), EN 15907 und RDA (Resource Description and Access) orientiert, ist es so konzipiert, dass es mit einer Vielzahl von Datenstrukturen kompatibel ist. Es bietet Diagramme, Entscheidungsbäume, Beispiele und andere Werkzeuge, um Experten wie Laien bei der realen Katalogisierung von Sammlungen bewegter Bilder zu helfen.","<KI-Generiert> Dokumentation, Neue Medien",Dokumentation,Neue Medien,<KI-Generiert> Belgium,"deutsch, englisch, etc.",PDF,-,,X,,,cdc@fiafnet.org,True,,True,2025-04-02
Fiber Reference Image Library,https://cameo.mfa.org/wiki/Fiber_Reference_Image_Library,"Museum of fine arts, Boston",<KI-Generiert> Datenbank,"<KI-Generiert> Die Fiber Reference Image Library (FRIL) ist eine Datenbank mit Bildern von Textilfasern, die mit verschiedenen Mikroskopietechniken aufgenommen wurden. Sie enthält Vergleichsbilder von Textilfasern, die mit Hellfeld-, Dunkelfeld-, Polarisationslicht- und Differentialinterferenzkontrast-Techniken untersucht wurden. Schlagwörter: Materialien, Textil","<KI-Generiert> Materialien, Textil",Materialien,Textil,,englisch,MediaWiki,-,,X,X,"NW: Hilfreich, s. andere Cameo Datenbanken","CAMEO: Michele Derrick, Research Scientist, retired, MFA mrderrick@gmail.com",True,,True,2023-07-07
Forbes Pigment Database,https://cameo.mfa.org/wiki/Forbes_Pigment_Database,"Museum of fine arts, Boston",<KI-Generiert> Datenbank,"<KI-Generiert> Die Forbes Pigment Database enthält über 3000 Farbmittel, die von Edward Waldo Forbes, dem ehemaligen Direktor des Fogg Art Museum der Harvard University (1909-1945), zusammengetragen wurden. Ziel dieser Datenbank ist es, einen zentralen, durchsuchbaren und leicht zugänglichen Ort für die Zusammenstellung aller verfügbaren Informationen aus allen Quellen bereitzustellen. Schlagwörter: Materialien, Pigmente.","<KI-Generiert> Materialien, Pigmente",Materialien,Pigmente,,englisch,MediaWiki,-,,X,X,"NW: Nicht vollständig aber hilfreich, s. andere Cameo Datenbanken","CAMEO: Michele Derrick, Research Scientist, retired, MFA mrderrick@gmail.com",True,,True,2022-02-08
Geodateninfrastruktur Deutschland (GDI-DE),https://www.gdi-de.org/,Geodateninfrastruktur Deutschland,<KI-Generiert> Datenbank,"<KI-Generiert> Die Geodateninfrastruktur Deutschland (GDI-DE) ist ein gemeinsames Vorhaben von Bund, Ländern und Kommunen, ihre Geodaten auf standardisierte und einfache Weise über das Internet bereitzustellen. Die GDI-DE ist eingebunden in die durch die INSPIRE-Richtlinie geschaffene europäische Geodateninfrastruktur.","<KI-Generiert> INSPIRE, Umsetzung von INSPIRE, Checkliste zur Semantik von Metadaten, GDI-DE Testsuite zur Prüfung von Metadaten, Katalog-/Suchdiensten (CSW), Karten-/Darstellungsdiensten (WMS), Downloaddiensten (WFS, Atom), Geodaten (GML) auf INSPIRE-Konformität","nähere Hinweise zu Umsetzung von INSPIRE, Checkliste zur Semantik von Metadaten, GDI-DE Testsuite zur Prüfung von Metadaten, Katalog-/Suchdiensten (CSW), Karten-/Darstellungsdiensten (WMS), Downloaddiensten (WFS, Atom) und Geodaten (GML) auf INSPIRE-Konformität",INSPIRE,DE,deutsch,,,,<KI-Generiert> x,,"Checkliste zur Semantik von Metadaten: https://wiki.gdi-de.org/pages/viewpage.action?pageId=726499337    GDI-DE Testsuite zur Prüfung von Metadaten, Katalog-/Suchdiensten (CSW), Karten-/Darstellungsdiensten (WMS), Downloaddiensten (WFS, Atom) und Geodaten (GML) auf INSPIRE-Konformität: https://www.gdi-de.org/GDI-DE/Servicefunktionen/GDI-DE%20Testsuite",INSPIRE-Konformität Länderansprechstellen: https://www.gdi-de.org/GDI-DE/Kontaktstellen,,True,True,2025-04-14
Getty Thesaurus of Geographic Names,https://www.getty.edu/research/tools/vocabularies/tgn/index.html,Getty Research Institute,<KI-Generiert> Vokabular,"<KI-Generiert> Der Getty Thesaurus of Geographic Names (TGN) ist ein wachsendes und sich veränderndes Vokabular, dank der Beiträge von Getty-Projekten und anderen Institutionen.","<KI-Generiert> Geografische Namen, Thesaurus",Dokumentation,Alle,,englisch,HTML,-,<KI-Generiert> Open Data Commons Attribution License (ODC-By) 1.0,X,-,NW: Sehr hilfreich für uns,vocab@getty.edu,True,,True,2017-03-07
GLOBE - Glossar zur Bestandserhaltung,https://www.bestandserhaltungsglossar.de/globe.html,Bibliotheksschule in Frankfurt/Main,<KI-Generiert> Fachtext,"<KI-Generiert> Objekte, Maßnahmen, Techniken, Zustand Papier","<KI-Generiert> Objekte, Maßnahmen, Techniken, Zustand, Papier","Objekte, Maßnahmen, Techniken, Zustand",Papier,,deutsch,HTML,-,,X,-,NW: Sehr hilfreich für uns. Austausch/Verknüpfung könnte sinnvoll sein,"Dr. Jan Harloff-Puhr Bundesanstalt für Materialforschung- und Prüfung Referat Z.8 (Technik der Öffentlichkeitsarbeit, Fachinformation) Unter den Eichen 87 12205 Berlin jan.harloff@bam.de ",True,,True,
Glossar Papierrestaurierung in sechs Sprachen,https://www.goethe.de/ins/hon/de/bib/gpa.html,Goethe Institut,<KI-Generiert> Fachtext,"<KI-Generiert> Das „Glossar Papierrestaurierung“ dient internationalen Fachleuten als hilfreiches Werkzeug, um die entsprechenden Restaurierungsbegriffe in ihrer Sprache anwenden zu können. Dieses polyglotte Glossar ist nun als iBook für IOS in sechs Sprachen Deutsch, Englisch, Chinesisch, Koreanisch, Mongolisch und Japanisch erhältlich. Zusätzlich wird es nun als eBook für Android-Geräte und andere digitale Plattformen im EPUB-Format in sechs Sprachen angeboten.","<KI-Generiert> Papier, Maßnahmen, Zustand","Maßnahmen, Zustand",Papier,<KI-Generiert> Hongkong,"deutsch, englisch, etc.",HTML,-,<KI-Generiert> ©Goethe-Institut,X,-,"NW: Nur Begriffe und Übersetzungen, ohne Erklärung",Luka Wong Leiterin Information und Bibliothek Tel.: +852 28299920 Fax: +852 28024363 Wai-Ka.Wong@goethe.de   Alice Ho Sachbearbeiterin Programmarbeit Tel.: +852-28020088 Fax: +852 28024363 Alice.Ho@goethe.de,True,,True,2025-04-07
Glossary of conservation terms,https://sha.org/conservation-facts/glossary/,The Society for Historical Archaeology,<KI-Generiert> Fachtext,<KI-Generiert> Glossar archäologischer Begriffe im Kontext von Konservierungsmaßnahmen und Zustandsbeschreibung von Funden.,"<KI-Generiert> Glossar, Konservierung, archäologische Begriffe, Maßnahmen, Zustand, Archäologie","Maßnahmen, Zustand",Archäologie,<KI-Generiert> United States,englisch,HTML,-,<KI-Generiert> Creative Commons Attribution-NonCommercial 3.0 United States License,X,-,"NW: Nicht vollständig, Begriffe und Erklärungen",Nicole Grinnan Website Editor (2023-present) Phone: (941) 524-0202 Email: ngrinnan@uwf.edu ,True,,True,
Glossary of Corrosion Related Terms,https://www.marineelectricity.com/wp-content/uploads/2021/04/Glossary-Of-Corrosion-Related-Terms.pdf,NACE International,<KI-Generiert> Fachtext,<KI-Generiert> Glossar zu Begriffen im Zusammenhang mit Korrosion. Enthält Schlagwörter zu Zustand und Metall.,"<KI-Generiert> Zustand,Metall",Zustand,Metall,,englisch,PDF,-,,X,-,NW: Begriffe und Erklärungen,,True,,True,
Glossary of Digital Photography Terms,https://www.shortcourses.com/guide/guide5-1.html,Dennis P. Curtin,<KI-Generiert> Fachtext,<KI-Generiert> Neue Medien / Photographien,"<KI-Generiert> Objekte, Techniken","Objekte, Techniken",Neue Medien / Photographien,,englisch,HTML,-,,X,-,NW: Begriffe und Erklärungen,"Dennis P. Curtin 16 Preston Beach Road Marblehead, MA 01945 781-631-1178 denny@shortcourses.com",True,,False,
Grabungswörterbuch,https://ausgraeberei.de/grabungswoerterbuch/,Doris Fischer,<KI-Generiert> Fachtext,<KI-Generiert> Eine Sammlung von Fachbegriffen für Grabungstechnik und Archäologie,"<KI-Generiert> Objekte, Maßnahmen, Techniken, Zustand, Archäologie","Objekte, Maßnahmen, Techniken, Zustand",Archäologie,,"deutsch, englisch",PDF,-,,X,-,"NW: Nur Begriffe und Übersetzungen, ohne Erklärung",Doris Fischer Am Hagelkreuz 2 47839 Krefeld doris.fischer@ausgraeberei.de www.ausgraeberei.de,True,,True,2025-01-01
Graphic Atlas,http://www.graphicsatlas.org/identification/,Rochester Institute of Technology,<KI-Generiert> Fachtext,"<KI-Generiert> Graphics Atlas ist eine webbasierte Ressource, die Objekte, Maßnahmen, Techniken und den Zustand von Kulturerbe-Sammlungen beschreibt. Sie behandelt auch Neue Medien.","<KI-Generiert> Objekte, Maßnahmen, Techniken, Zustand, Neue Medien","Objekte, Maßnahmen, Techniken, Zustand",Neue Medien,,englisch,HTML,-,,X,X,NW: Sehr hilfreich für uns,Jennifer Jae Gutierrez (Executive Director) jjgpph@rit.edu,True,,True,2025-01-01
Graphikportal,https://www.graphikportal.org/,Deutsches Dokumentationszentrum für Kunstgeschichte – Bildarchiv Foto Marburg,<KI-Generiert> Datenbank,<KI-Generiert> Graphikportal für Objekte auf Papier,"<KI-Generiert> Objekte, Papier",Objekte,Papier,,deutsch,HTML,-,,X,X,NW: Sehr hilfreich für uns,gudrun.knaus@fotomarburg.de,True,,True,2024-12-18
Hausbücher der Zwölfbrüderstiftung von Nürnberg,www.nuernberger-hausbuecher.de,Germanisches Nationalmuseum ,<KI-Generiert> Fachtext,<KI-Generiert> Techniken,<KI-Generiert> Techniken,Techniken,Alle,,deutsch,HTML,-,,X,-,"NW: Sehr hilfreich, Austausch/Verknüpfung könnte sinnvoll sein",Dr. Christine Sauer Gesamtprojektleitung  Stadtbibliothek im Bildungscampus Nürnberg Gewerbemuseumsplatz 4 90403 Nürnberg Telefon: 0911 / 231 – 28 32 Telefax: 0911 / 231 - 54 76 Christine.Sauer@stadt.nuernberg.de,True,,True,
