Name,Website,Institution,Kategorie,Kurz Beschreibung,Schlagworte,Land,Sprache,Software / Modell / Format,Semantic,Lizenz,Open access,Aktuell/gepflegt,Kommentar,Kontakt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz,Responsive
Condition Reporting – Paintings. Part III: Glossary – Canadian Conservation Institute (CCI) Notes 10/11,https://www.canada.ca/en/conservation-institute/services/conservation-preservation-publications/canadian-conservation-institute-notes/condition-reporting-paintings-glossary.html,Canadian Conservation Institute,Vokabular,"Dieses Glossar erläutert die Terminologie, die von Restauratoren in Zustandsberichten für Gemälde verwendet wird, und ein Französisch-Englisches-Register.","Zustand, Gemälde",CAN,"englisch, französisch",HTML,-,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Government of Canada, Canadian Conservation Institute, 2017",TRUE,FALSE,"NW: Begriffe mit Erklärung, teilweise Zeichnungen. Hilfreich für Restaurierung",iccdemande-ccirequest@pch.gc.ca,TRUE,FALSE,TRUE
Connecting Archaeology and Architecture in Europe (CARARE),https://www.carare.eu/en/services/carare-aggregation-services/,CARARE,Ressourcensammlung,"Ressourcensammlung zur Datenveröffentlichung für digitale Daten zu Archäologie und Architektur in Kooperation mit Europeana. Zur Verfügung gestellt werden Standards, Mapping-Dienste, Empfehlungen zur Metadatenanreicherung und Verwendung kontrollierter Vokabulare uvm.","Datenpublikation, Metadatenstandards, Mapping, Empfehlungen",diverse,englisch,"CARARE, LIDO, EDM, XML",,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © CARARE,TRUE,TRUE,"bietet Metadata standards, schemas, and data quality including data analysis, metadata mapping, conversion to CARARE and EDM formats, metadata enrichment, geographic data (place name gazetteers, coordinates, conversion of national coordinates to WGS 84 for Europeana, historical placenames), subject indexing (use of controlled vocabularies), temporal data (archaeological periods, date formats), Linked Data and Linked Open Data, Copyright and associated rights, Access rights and permissions, language identification, metadata validation, metadata enrichment",,FALSE,TRUE,TRUE
Conservation and Art Materials Encyclopedia Online (CAMEO),https://cameo.mfa.org/wiki/Main_Page,"Museum of fine arts, Boston",Ressourcensammlung,"CAMEO ist eine Datenbank, die technische Informationen über die verschiedenen Begriffe, Materialien und Techniken sammelt, definiert und verbreitet, die in den Bereichen Kunstkonservierung und Denkmalpflege verwendet werden. Enthält Informationen zu Objekten, Materialien und Techniken, insb. zu Fasern, Farben, asiatischen Textilen, und Materialien für Ausstellungen und Transport.","Konservierung, Transport, Materialien, Technik, Textil, Farben, Fasern",USA,englisch,MediaWiki,-,GNU FDL,TRUE,TRUE,NW: Sehr hilfreich für uns und Restaurierung,"CAMEO: Michele Derrick, Research Scientist, retired, MFA mrderrick@gmail.com",TRUE,FALSE,TRUE
Conservation FAQs and Facts,https://sha.org/conservation-facts/,The Society for Historical Archaeology,Fachtext,"Ein Leitfaden, der Archäologen dazu anregen soll, spezialisierte Konservierungsmaßnahmen in Anspruch zu nehmen. Er enthält FAQs zu verschiedenen Themen im Zusammenhang mit der Konservierung archäologischer Funde, vom Umgang auf der Ausgrabung über die Lagerung und Konservierung bis hin zur Ausstellung und Konservierungsbehandlung. Außerdem enthält er ein Glossar von Konservierungsbegriffen.","Maßnahmen, Zustand, Methoden, Materialien",USA,englisch,HTML,-,CC BY-NC 3.0 US,TRUE,FALSE,NW: Hauptsächlich interessant für Archäologische Restaurierung. Hinweise und Anweisungen vorhanden. Glossar richtet sich eher an Laien,"Nicole Grinnan
Website Editor (2023-present)
Phone: (941) 524-0202
Email: ngrinnan@uwf.edu",TRUE,TRUE,TRUE
Conservation space,https://de.museumspace.com/conservationspace/,"National Gallery of Art, Washington",Datenschema,"Conservation Space ist ein kostenpflichtiges webbasiertes Modul für Konservierungsexperten und Restaurierungsabteilungen in Galerien und Museen, das Dokumenten- und Prozessmanagement für Teams und Institutionen bietet.","Dokumentation, Managementsystem, Restaurierung","USA, GBR","deutsch, englisch",Sirmas Enterprise Platform (SEP),X,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. Software kostenpflichtig. © Sirma Group 2018,FALSE,TRUE,NW: Verkauf von Software?,,TRUE,FALSE,TRUE
Conservation Process Model (CPM),https://doi.org/10.5194/isprs-archives-XLII-5-W1-283-2017,"Polytechnikum Mailand, Universität La Sapienza Rom, Universität Genua, Universität Brescia, Polytechnikum Turin, National Research Council - Institute of Chemistry of OrganoMetallic Compounds (CNR-ICCOM) Außenstelle Bari",Ontologie,"Semantisches Datenmodel des BHIMM-Projektes, das auf Daten in Bezug auf Konservierung-Restaurierung von historischen Gebäuden spezialisiert ist. Das Model verfolgt dabei als Hauptziele die Darstellung von Wissen über entsprechende konservatorisch-restauratorische Prozesse sowie die Erleichterung der Integration, der Vermittlung und des Austausches heterogener Daten aus diesem Fachbereich. Die Ontologie basiert unter anderem auf CIDOC CRM und nutzt das ICOMOS-Vokabular nach. Weder die Ontologie noch das Projekt als solches ist öffentlich auffindbar und eldiglich in Form von textlichen Artikeln nachverfolgbar.","immobiles Kulturgut, Ontologie, historische Gebäude, Konservierung-Restaurierung",IT,englisch,"Protégé/OWL, Semantic Web Rule Language (SWRL)",,nicht zugänglich,FALSE,FALSE,,,TRUE,True?,FALSE
Constglass,http://www.constglass.eu/index.html,Dombauverwaltung Köln,Datenbank,Bildarchiv des Constglass-Projekts mit Informationen über den Zustand historischer Glasfenster in Europa und die bei ihrer Konservierung verwendeten Materialien.,"Glas, Materialien",DE,englisch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. Verbot von Druck oder Download von Inhalten. © 2010 by Dombauverwaltung Köln,TRUE,FALSE,"NW: Maßnahmendokumentation
KF: nicht mehr verfügbar (02/2025)","EDITOR IN CHARGE
Dr. Ulrike Brinkmann
Metropolitankapitel der Hohen Domkirche Köln
Dombauverwaltung
Roncalliplatz 2
50667 Köln
ulrike.brinkmann@dombau-koeln.de",TRUE,FALSE,TRUE
Corning Museum of Glass Dictionary,https://allaboutglass.cmog.org/glass-dictionary,The Corning Museum of Glass,Vokabular,"Vokabular zu Glas, Glasdekorationen, Formen uvm.","Glas, Technik, Materialien",USA,englisch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Corning Museum of Glass.,TRUE,TRUE,"NW: Begriffe mit Erklärung, teilweise mit Bildern","Any research inquiries should be sent to the Rakow Research Library
rakow@cmog.org",TRUE,FALSE,TRUE
CRMcr Model,http://projet-parcours.eu,"PATRIMA Excellence Research Laboratory, 
French Museum’s Research and Restoration Center (C2RMF), Research Laboratory for Historical Monuments (LRMH), ETIS Research Lab, Cergy-Pontoise (Paris area), France, Research Center on the Conservation of Collections (CRCC), DAVID Research Lab, Universit´e de Versailles Saint-Quentin-en-Yvelines, Laboratoire IPANEMA, Institut national du patrimoine (INP)",Ontologie,"semantisches Datenmodell, welches im Zuge des PARCOURS-Projektes entwickelt wurde. Es sollte eine CIDOC CRM  Erweiterung für den Bereich der Konservierungs-Restaurierungs darstellen und als gemeinsame Infrastuktur für den Austausch von konservatorischen-restauratorischen Daten aus unterschiedlichen Institutionen dienen. Die Ontologie sollte verschiedene Daten zur Konservierung und Restaurierung materiellen Kulturgutes zusammenführen können, um eine einheitliche Datenabfrage zu ermöglichen. Die Ontologie ist nicht öffentlich zugänglich und die Projektseite nicht mehr erreichbar, lediglich verschiedene textliche Artikel geben Einblick in die damaligen Arbeiten zu dieser Ressource.","Ontologie, CIDOC CRM, Datenaustausch, Konservierung-Restaurierung",FR,englisch,"OWL und RDF, basiert auf Cidoc CRM und CRMsci",X,"keine Angaben, Ontologie nicht öffentlich zugänglich, Projektseite nicht mehr auffindbar",FALSE,FALSE,Website aktuell nicht erreichbar. Arbeitsergebnisse nicht auffindbar,,TRUE,FALSE,FALSE
Cultural Objects Name Authority,https://www.getty.edu/research/tools/vocabularies/cona,Getty Research Institute,Vokabular,"CONA (Cultural Objects Name Authority) kompiliert Metadaten über Kunstwerke, Architektur und kulturelles Erbe. Metadaten werden aus Museumssammlungen, Sondersammlungen, Archiven, Bibliotheken, wissenschaftlichen Forschungen und anderen Quellen gesammelt und verknüpft. CONA ist mit Getty AAT, TGN, ULAN und IA (Iconography Authority) verbunden.","Metadaten, Dokumentation, Kunst, Architektur, Objekt",USA,englisch,"HTML, API",-,ODC-By v1.0,TRUE,FALSE,NW: Hilfreich für uns,vocab@getty.edu,TRUE,FALSE,TRUE
Damage Atlas for Photographic materials,https://journals.openedition.org/ceroart/1770,Kristel Van Camp,Vokabular,Der Schadensatlas für fotografische Materialien bietet eine erste Charakterisierung von Schäden im Bereich der Fotografie. Er enthält Bilder und die notwendigen Informationen zu Schäden an fotografischem Material.,"Schäden, Konservierung, Zustand, Fotografie",USA,englisch,HTML,-,CC BY-NC-ND 4.0,TRUE,FALSE,"NW: Definition von Schadensbegriffen, inkl. Baumdiagramm",-,TRUE,FALSE,TRUE
DANTE - Datendrehscheibe für Normdaten und Terminologien,https://dante.gbv.de/search,Verbundzentrale Göttingen (VZG),Ressourcensammlung,Webservice zur Einbindung von Normdaten(diensten) und Terminologien in die eigene Datenerfassung. DANTE stellt einerseits anerkannte Vokabulare zur Verfügung und ermöglicht andererseits auch das Einbinden und mappen eigener Vokabulare.,"Normdaten, Vokabular, Mapping",DE,"deutsch, englisch","easydb5, SKOS",,verschiedene je nach Datensatz,TRUE,TRUE,,,TRUE,TRUE,TRUE
Das Oddy-Torium – Test von Restaurierungsmaterialien,https://www.abk-stuttgart.de/forschung/konservierung-und-restaurierung-von-kulturgut/das-oddy-torium-test-von-restaurierungsmaterialien/,Staatliche Akademie der Bildenden Künste Stuttgart,Fachtext,"Test von Restaurierungsmaterialien wie Klebstoffen, Schutzlacken und Festigungsmitteln auf Schadstoffe, die die restaurierten Objekte beschädigen könnten.","Schadstofftest, Klebstoff, Lacke, Materialien",DE,"deutsch, englisch","PDF, HTML",-,CC BY 4.0,TRUE,FALSE,"NW: Sehr spezifisch, Möglicherweise irrelevant, da abhängig von Batches?",,TRUE,FALSE,TRUE
Datenbank für Bauforschung,https://www.bauforschung-bw.de/,"Landesamt für Denkmalpflege Baden-Württemberg, Arbeitskreises für Hausforschung Regionalgruppe Baden-Württemberg",Datenbank,Datenbank für Bauforschung und Restaurierung zu historischen Gebäuden in Baden-Württemberg. Ziel ist die bessere Verfügbarkeit von Wissen über historische Gebäude.,"Bauforschung, Gebäude, Architektur, Denkmalpflege, Baumaterialien, Bautechnik, Konstruktion, Zustand, Wand, Stein",DE,deutsch,HTML,-,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2004-2025, Landesamt für Denkmalpflege Baden-Württemberg",TRUE,TRUE,"NW: Nicht vollständig, aber für uns sehr hilfreich. Austausch/Verknüpfung könnte sinnvoll sein","E-Mail: support@bauforschung-bw.de
oder
Telefon: +49 (0)711 66 45 69 27
(Montag - Freitag: 10 - 12 Uhr)",TRUE,TRUE,TRUE
Datenbank Steinkonservierungsmittel,https://ifs-mainz.de/datenbank,"Institut für Steinkonservierung e.V., Mainz",Datenbank,"Datenbank zu Steinkonservierungsmitteln, Herstellern und Verfahrensmethoden aus dem Bereich der Steinkonservierung.","Materialien, Konservierungsmittel, Technik, Hersteller, Wand, Stein",DE,deutsch,PDF,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2024 Institut für Steinkonservierung e.V.,TRUE,FALSE,NW: Interessant für ins. Insbesondere PDF Steinkonservierungsmittel und Verfahren,"Institut für Steinkonservierung e. V.
Große Langgasse 29
55116 Mainz
Telefon: +49 (0)6131 2016-500
Fax: +49 (0)6131 2016-555
info@ifs-mainz.de",TRUE,FALSE,TRUE
Descriptive Terminology for Works of Art on Paper,https://www.philamuseum.org/learn/conservation/descriptive-terminology-works-art-on-paper,Philadelphia Museum of Art,Vokabular,"Terminologie zu Materialien und Techniken, die zur Herstellung von Kunstwerken auf Papier verwendet werden.","Objekt, Technik, Papier, Materialien",USA,englisch,PDF,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2025 Philadelphia Museum of Art,TRUE,FALSE,"NW: Sehr interessant, insb. Guidelines","Conservation artconservation@philamuseum.org
Communications Department pressroom@philamuseum.org",TRUE,FALSE,TRUE
Dictionary of Book and Paper Conservation,http://mek.oszk.hu/10600/10635/10635.pdf,"Nationalbibliothek von Ungarn, Budapest",Vokabular,"Wörterbuch zu Materialien, Techniken, Hilfsmitteln und Werkzeugen aus dem Bereich der Papierkonservierung, Buchbindung und dem Druck.","Objekt, Maßnahmen, Technik, Zustand, Papier",HUN,"deutsch, englisch, italienisch, französisch, ungarisch",PDF,-,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. Gabriella Albrechtné Kunszerí, Udikó Beöthyné Kozocsa, Mária Czigler, Éva Csenki, Erzsébet Jurcsik, Beatrix Kastaly, Betly Kennedy, Imola Simon, Györgyi Szlabey",TRUE,FALSE,"NW: Nur Begriffe und Übersetzungen, ohne Erklärung",,TRUE,FALSE,TRUE
Dictionary of Units,http://www.cleavebooks.co.uk/dictunit/dictunit.htm,Cleave Books,Vokabular,"Wörterbuch zu Maßeinheiten, die heute weltweit verwendet werden, und zu deren Umrechnungsfaktoren in das internationale Einheitensystem (SI-System).","Einheiten, Umrechnung",GBR,englisch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Frank Tapson2004,TRUE,FALSE,NW: Könnte hilfreich sein,Please send queries and comments to management@cleavebooks.co.uk,TRUE,TRUE,TRUE
digiCULT.xTree/xTree.public,https://xtree-public.digicult-verbund.de/vocnet/?action=start&lang=de ; https://www.digicult-verbund.de/software/digicultxtree,digiCult,Datenbank,"Datenbank zur Verwaltung von Thesauri, Vokabularen und Wertelisten. Enthalten sind auch Zusatzdaten zu den Vokabularbegriffen wie Verweise und Synonyme als auch biografische Personendaten, sowie ein Mapping-Tool und eine mehrsprachige Benutzeroberfläche. Enthalt u.a. auch die LIDO-Terminologien.","Thesauri, Vokabular, Verweise, Künstlerdatenbank, Objekt, Materialien",DE,"deutsch, englisch","SKOS, RDF, JSON, SPARQL, TriG",,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,,,TRUE,TRUE,TRUE
Doc Culture,http://www.ndt-lab.gr/docculture/ (nicht erreichbar),"Nationale Technologischen Universität Athen (Fachbereich Chemieingenieurwesen), Technologische Bildungsinstitut Athen/ University of West Attica (Fachbereich Bibliothekswissenschaft und Informationssysteme), Universität Patras (Fachbereich Computertechnik und Informatik), Nationales Archäologisches Museum Griechenlands",Ontologie,"semantisches Datenmodel aus dem DOC-CULTURE Projektes. Ziel war die vollständige ontologische Darstellung von Konservierungs- und Restaurieurngsprozessen, einschließlich zerstörungsfreier Prüf- und Bewertungsmethoden, zu erleichtern. Die Ontologie ist nicht öffentlich zugänglich und die Projektseite nicht mehr erreichbar.","Ontologie, CIDOC CRM, Datenaustausch, Konservierung-Restaurierung, nicht-invasive Prüfmethoden",GRC,englisch,"keine Angaben, vermutlich OWL (basiert auf CIDOC CRM)",,"keine Angaben, die Ontologie ist nicht öffentlich zugänglich und die Projektseite nicht mehr erreichbar.",FALSE,FALSE,"Website aktuell nicht erreichbar, Arbeitsergebnisse nur in Form eines Papers gefunden bisher.","Corresponding author. Tel.: +30-210 7724487; fax: +30-210 7724488.
E-mail address: dimitriskouis@seab.gr",TRUE,FALSE,FALSE
Dokumentationsrichtlinien Hamburg,https://amh.de/wp-content/uploads/Dokumentationsrichtlinien_AMH_241209.pdf,"Archäologisches Museum Hamburg, Bodendenkmalpflege",Fachtext,"Grabungsrichtlinien des Landes Hamburg, sowie zugehörige Vorgaben zur Datenstruktur und Formularvorgaben.","Grabungsrichtlinien, Formulare, Ausgrabung",DE,deutsch,PDF,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,TRUE,,,FALSE,TRUE,TRUE
Dokumentationsrichtlinien Hessen,https://denkmal.hessen.de/sites/denkmal.hessen.de/files/2024-09/lfdh_ha_gdrl_archaeologie_gueltig-ab-01.01.2025.pdf,HessenArchäologie,Fachtext,"Grabungsrichtlinien des Landes Hessen, sowie zugehörige Vorgaben zur Datenstruktur und Formularvorgaben.","Grabungsrichtlinien, Formulare, Ausgrabung",DE,deutsch,PDF,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,TRUE,,,FALSE,TRUE,TRUE
Dublin Core Ontology Metadata Element Set (DCMI),https://www.dublincore.org/specifications/dublin-core/dcmi-terms/,Dublin Core™ Metadata Initiative,Datenschema,"Allgemeiner Metadatenstandard basierend auf 15 Hauptelementen, zur Beschreibung von Ressourcen.",Metadaten,diverse,englisch,"XML, RDF",,CC By 4.0,TRUE,TRUE,"ISO-Norm ISO 15836 Part 2 (neueste von 2019)
https://www.dublincore.org/specifications/dublin-core/",,TRUE,TRUE,TRUE
Dye Analysis,https://cameo.mfa.org/wiki/Category:Dye_Analysis,"Museum of fine arts, Boston",Fachtext,"Datenbank zu Bestandteilen von Farbstoffen und bunten Kulturobjekten, die mittels Flüssigkeitschromatographie, oft gekoppelt mit Diodenarray- und Massenspektrometerdetektoren (LC/DAD/MS) analysiert wurden. Die Datenbank umfasst sowohl natürliche als auch synthetische Farbstoffe.","Farbstoffe, Methoden, Objekt",USA,englisch,MediaWiki,-,GNU FDL,TRUE,TRUE,NW: Sehr hilfreich für uns,"CAMEO: Michele Derrick, Research Scientist, retired, MFA mrderrick@gmail.com",TRUE,FALSE,TRUE
EPSG Geodetic Parameter Dataset,https://epsg.org/home.html,IOGP Geomatics Committee,Vokabular,Das EPSG Geodetic Parameter Dataset beinhaltet Definitionen für Koordiantenbezugssysteme (KBS/CRS) und Koordiantentransformationen mit eindeutigen Identifikatoren (EPSG-Codes).,"Koordinatenbezugssysteme, EPSG-Codes, Koordinatentransformation",diverse,englisch,"WKT, GML, XHTML",,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Geomatic Solutions.,TRUE,TRUE,,,FALSE,TRUE,TRUE
Europeana Data Model (EDM),https://pro.europeana.eu/page/edm-documentation,Europeana,Datenschema,Metadatenmodell für die Verlinkung von Kulturerbedaten in Europa.,"Metadaten, Datenaustausch",diverse,englisch,"XML, SKOS, RDF, CIDOC CRM",x,"verschiedene, teils CC BY-SA 4.0",TRUE,TRUE,"Bringt bestehende Standards unter, wie LIDO, EAD und METS",,TRUE,TRUE,TRUE
Evidence thesaurus (FISH),https://collectionstrust.org.uk/resource/evidence-thesaurus-fish/,Collections Trust,Vokabular,"Terminologie für die vorhandenen physischen Überreste eines Denkmals oder die Mittel, mit denen ein Denkmal identifiziert wurde, wenn keine physischen Überreste vorhanden sind","Denkmalerkennung, Befund",GBR,englisch,"NTRIPLE, TURTLE, JSON, XML, CSV, PDF",,OGLv3.0 = CC BY 4.0,TRUE,TRUE,,,FALSE,TRUE,TRUE
EwaGlos – European Illustrated Glossary for Conservation Terms of Wall Painting and Architectonic Surfaces,https://hornemann-institut.hawk.de/en/projects/research/ewaglos,"Hornemann-Institut, HAWK Hildesheim",Vokabular,Glossar für Fachbegriffe der Konservierung/Restaurierung von Wandmalerei und Architekturoberfläche in über elf Sprachen.,"Wandmalerei, Architektur, Zustand, Wand, Stein",diverse,"englisch, bulgarisch, deutsch, französisch, italienisch, kroatisch, polnisch, rumänisch, spanisch, türkisch, ungarisch, russisch, persisch, arabisch, japanisch, chinesisch",PDF,X,CC BY-NC-ND 3.0 DE,TRUE,FALSE,NW: Sehr hilfreich,Hornemann Institut,TRUE,FALSE,TRUE
Fachinformationen Frauenhofer IRB,irb.fraunhofer.de/de/datenbanken.html,"Fraunhofer-Informationszentrum
Raum und Bau IRB",Ressourcensammlung,"Sammlung von Literaturdatenbanken zu baurelevanten Themen wie Bauforschung, Schadensanalysen, Bauplanungen etc.","Literatur, Bauforschung, Gebäude, Schäden, Zustand, Wand, Stein",Deutschland,"deutsch, englisch",HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,teilweise,TRUE,"NW: ICONDA®­Bibliographic, SCHADIS® | Die Daten­bank zu Bau­schäden und BZP® nicht open access",,TRUE,TRUE,TRUE
Fact Sheets on Exhibit & Storage Materials,https://cameo.mfa.org/wiki/Category:MWG,"Museum of fine arts, Boston",Vokabular,"Sammlung von Materialien, die für die Ausstellung, Lagerung und den Transport von Kulturgütern verwendet wurden oder verwendet werden könnten. Es handelt sich allerdings nicht um eine Sammlung empfohlener Materialien, sondern lediglich bekannter Verpackungs- und Lagermaterialien.","Ausstellung, Lagerung, Transport, Kulturerbe, Materialien, Materialauswahl, Materialeigenschaften",USA,englisch,MediaWiki,-,GNU FDL,TRUE,TRUE,"NW: Hilfreich, s. andere Cameo Datenbanken","CAMEO: Michele Derrick, Research Scientist, retired, MFA mrderrick@gmail.com",TRUE,FALSE,TRUE
"FIAF manual, D.16 Manifestation/Item Condition, Preservation and Restoration",https://www.fiafnet.org/pages/E-Resources/Cataloguing-Manual.html,International Federation of Film Archives,Fachtext,Das FIAF-Handbuch ist eine Hilfestellung bei der Erstellung von Metadaten oder Katalogisierungsdatensätzen für das Sammlungsmanagement von Filmaufnahmen.,"Dokumentation, Neue Medien, Film",diverse,"deutsch, englisch, französisch, spanisch, kroatisch",PDF,-,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Natasha Fairbairn, Maria Assunta Pimpinelli, Thelma Ross",TRUE,FALSE,,cdc@fiafnet.org,TRUE,FALSE,TRUE
Fiber Reference Image Library,https://cameo.mfa.org/wiki/Fiber_Reference_Image_Library,"Museum of fine arts, Boston",Datenbank,"Die Fiber Reference Image Library (FRIL) ist eine Datenbank mit Bildern von Textilfasern, die mit verschiedenen Mikroskopietechniken aufgenommen wurden. Sie enthält Vergleichsbilder von Textilfasern, die mit Hellfeld-, Dunkelfeld-, Polarisationslicht- und Differentialinterferenzkontrast-Techniken untersucht wurden.","Materialien, Textil, Fasern",USA,englisch,MediaWiki,-,GNU FDL,TRUE,TRUE,"NW: Hilfreich, s. andere Cameo Datenbanken","CAMEO: Michele Derrick, Research Scientist, retired, MFA mrderrick@gmail.com",TRUE,FALSE,TRUE
Forbes Pigment Database,https://cameo.mfa.org/wiki/Forbes_Pigment_Database,"Museum of fine arts, Boston",Datenbank,"Die Forbes Pigment Database enthält über 3000 Farbmittel, die von Edward Waldo Forbes, dem ehemaligen Direktor des Fogg Art Museum der Harvard University (1909-1945), zusammengetragen wurden. Ziel dieser Datenbank ist es, einen zentralen, durchsuchbaren und leicht zugänglichen Ort für die Zusammenstellung aller verfügbaren Informationen aus allen Quellen bereitzustellen.","Materialien, Pigmente",USA,englisch,MediaWiki,-,GNU FDL,TRUE,TRUE,"NW: Nicht vollständig aber hilfreich, s. andere Cameo Datenbanken","CAMEO: Michele Derrick, Research Scientist, retired, MFA mrderrick@gmail.com",TRUE,FALSE,TRUE
FISH Terminologies,https://heritage-standards.org.uk/fish-vocabularies/,Collections Trust,Ressourcensammlung,Sammlung verschiedener Vokabulare zu Themen der Archäologie und Restaurierung/Konservierung.,"Vokabular, Archäologie, Konservierung, Bauwerk, Befund, Materialien, Klima, Epochen",GBR,englisch,"PDF, CSV, RDF/SKOS",,OGLv3.0 = CC BY 4.0,TRUE,TRUE,,,TRUE,TRUE,TRUE
Gemeinsame Normdatei (GND),https://www.dnb.de/DE/Professionell/Standardisierung/GND/gnd_node.html,Deutsche Nationale Bibliothek,,"Die Gemeinsame Normdatei (GND) ist ein Dienst, um Normdaten kooperativ nutzen und verwalten zu können. Diese Normdaten repräsentieren und beschreiben Entitäten, die in Bezug zu kulturellen und wissenschaftlichen Sammlungen stehen.  Sie erleichtern die Erschließung, bieten eindeutige Sucheinstiege und vernetzen unterschiedliche Informationsressourcen. Die GND ist die größte Normdatensammlung für Kultur- und Forschungsdaten im deutschsprachigen Raum.","Normdaten, Datennutzung, Schlagworte, Vernetzung, Personen, Geografika, Werke, Körperschaften, Sachbegriffe, Allgemeinbegriffe, Konferenzen",DE,deutsch,"MARC 21, MARC21-xml, RDF (RDF/XML, JSON, TURTLE), HDT, N-Triples, HTML",,CC0 1.0,TRUE,TRUE,,,TRUE,TRUE,TRUE
Geodateninfrastruktur Deutschland (GDI-DE),https://www.gdi-de.org/,Geodateninfrastruktur Deutschland,Ressourcensammlung,"Die Geodateninfrastruktur Deutschland (GDI-DE) ist ein gemeinsames Vorhaben von Bund, Ländern und Kommunen, ihre Geodaten auf standardisierte und einfache Weise über das Internet bereitzustellen. Die GDI-DE ist eingebunden in die durch die INSPIRE-Richtlinie geschaffene europäische Geodateninfrastruktur. Sie berät im Bereich von INSPIRE und Datenaustausch.","INSPIRE, Geodaten, Darstellungsdienste, WMF, WFS",DE,deutsch,HTML,,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Bundesamt für Kartographie und Geodäsie,TRUE,TRUE,"Checkliste zur Semantik von Metadaten: https://wiki.gdi-de.org/pages/viewpage.action?pageId=726499337   
GDI-DE Testsuite zur Prüfung von Metadaten, Katalog-/Suchdiensten (CSW), Karten-/Darstellungsdiensten (WMS), Downloaddiensten (WFS, Atom) und Geodaten (GML) auf INSPIRE-Konformität: https://www.gdi-de.org/GDI-DE/Servicefunktionen/GDI-DE%20Testsuite",INSPIRE-Konformität Länderansprechstellen: https://www.gdi-de.org/GDI-DE/Kontaktstellen,FALSE,TRUE,TRUE
GeoNames,https://www.geonames.org/,GeoNames,Datenbank,"GeoNames ist eine globale, offene geographische Datenbank, die geografische Namen und Informationen über geografische Merkmale enthält. Sie ist eine frei zugängliche Ressource, die Daten aus verschiedenen Quellen aggregiert und über verschiedene Webdienste verfügbar ist. Alle Einträge sind in verschiedene Klassen und Dubklassen eingeordnet.","Gazetteer, Geografika, Verortung, Koordinaten, Geografische Namen, Ortsnamen",diverse,englisch,"HTML, TXT, XML, JSON, RDF, CSV, RSS, KML",,CC BY 4.0,TRUE,TRUE,,,TRUE,TRUE,TRUE
Getty Thesaurus of Geographic Names,https://www.getty.edu/research/tools/vocabularies/tgn/index.html,Getty Research Institute,Vokabular,"Der Thesaurus of Geographic Names (TGN) umfasst Ortsangaben, die mit Kulturobjekten. Kunst, Architektur und ähnlichem in Verbindung stehen. Enthalten sind Relationen, Datierung, Ortstyp und andere Informationen.","Geografische Namen, Ortsnamen, Datierung",USA,englisch,"JSON, RDF, N3/Turtle, N-Triples, XML, API",-,ODC-By v1.0,TRUE,FALSE,NW: Sehr hilfreich für uns,vocab@getty.edu,TRUE,TRUE,TRUE
GLOBE - Glossar zur Bestandserhaltung,https://www.bestandserhaltungsglossar.de/globe.html,Bibliotheksschule in Frankfurt/Main,Vokabular,"Glossar mit einführenden Erklärungen zu Begriffen aus dem Bereich Pflege, Erhaltung und Langzeitarchivierung schützenswerter Bestände von Bibliotheken. Mit Verweisen auf Fachliteratur.","Papier, Objekt, Maßnahmen, Technik, Zustand",DE,deutsch,HTML,-,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt.,TRUE,FALSE,NW: Sehr hilfreich für uns. Austausch/Verknüpfung könnte sinnvoll sein,"Dr. Jan Harloff-Puhr
Bundesanstalt für Materialforschung- und Prüfung
Referat Z.8 (Technik der Öffentlichkeitsarbeit, Fachinformation)
Unter den Eichen 87
12205 Berlin
jan.harloff@bam.de",TRUE,FALSE,TRUE
